Timestamp,Is there anyone in your life who can support you and be there for you?,How have been you feeling lately: [Joyful (खुश)],How have been you feeling lately: [Depressed (उदास)],How have been you feeling lately: [Anxious (चिंतित)],How have been you feeling lately: [Stressed (तनावपूर्ण)],How have been you feeling lately: [Fulfilled (पूर्ण)],How have been you feeling lately: [Disappointed (नाराज)],How have been you feeling lately: [Frustrated (व्यथित)],How have been you feeling lately: [Angry (गुस्सेबाज)],How have been you feeling lately: [Hopeful (उम्मीदवार)],How have been you feeling lately: [Inspired (प्रेरित)],How have been you feeling lately: [Overwhelmed (व्यस्त)],How have been you feeling lately: [Confused (उबद्दल)],How have been you feeling lately: [Excited (उत्साहित)],How have been you feeling lately: [Peaceful (शांत)],Have you been feeling happy lately?,Have you been sleeping well?,Have you been feeling worried or anxious lately?,Have you been feeling hopeless or helpless lately?,Are you enjoying your daily activities and hobbies?,Have you been feeling overwhelmed or burdened lately?,Have you been feeling satisfied with your life lately?,Have you been feeling like you have a good support system in place?,Are you having any thoughts of self-harm or suicide?,How do you usually handle stress and negative emotions?,Have you talked to anyone about how you're feeling?,With whom do you share your feelings?,Do you feel that your emotions have a strong impact on your thoughts and behavior?
2/13/2023 23:02:56,Yes,5,2,2,3,2,4,3,4,3,3,4,5,3,2,Yes,No,Yes,Yes,No,Yes,Yes,No,No,By sharing your problem with parents,No,With my family and friends ,Yes
2/13/2023 23:06:30,Yes,5,1,1,1,4,2,1,1,2,3,3,1,4,5,Yes,Yes,No,No,Yes,No,Yes,Yes,No,By listening music,Yes,Family & Friends,No
2/13/2023 23:12:11,Yes,3,2,4,4,2,2,2,2,3,4,2,2,3,5,No,No,Yes,No,Yes,No,No,Yes,No,By talking to myself,No,"Usually no one, sometimes papa ke saamne rodeti hun :)",Yes
2/13/2023 23:12:11,No,3,2,3,3,4,5,2,2,5,3,4,3,5,2,No,Yes,Yes,No,No,Yes,No,No,No,"Music, sitcoms",No,,Yes
2/13/2023 23:12:12,No,2,2,3,3,3,3,3,3,2,2,2,2,2,2,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,by listening podcast,No,No one ,Yes
2/13/2023 23:15:03,Yes,5,1,2,3,5,1,1,1,5,5,1,1,5,4,Yes,No,Yes,No,Yes,No,Yes,Yes,No,By sharing your problem with parents,Yes,Parents,Yes
2/13/2023 23:15:54,Yes,5,1,2,1,4,1,1,1,5,5,4,2,5,5,Yes,No,No,No,Yes,Yes,No,Yes,No,By working out to my favourite tracks,Yes,My parents ,Yes
2/13/2023 23:17:25,No,3,4,4,4,2,3,4,3,2,2,4,4,3,3,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I just make myself busy,No,,Yes
2/13/2023 23:18:51,Yes,1,5,5,5,,5,5,1,5,5,5,1,1,1,No,No,Yes,Yes,No,Yes,No,Yes,No,By taking with bestfriend,Yes,"Bestfriend, Sister",Yes
2/13/2023 23:18:55,Yes,3,1,5,5,1,4,2,1,4,4,4,5,1,1,No,Yes,Yes,Yes,No,Yes,No,No,No,music,No,best friend,Yes
2/13/2023 23:19:00,No,5,5,5,5,4,4,1,1,5,5,5,5,5,5,Yes,Yes,No,No,Yes,No,No,No,No,by listening podcast,No,My diary,Yes
2/13/2023 23:19:15,No,4,4,3,3,1,4,4,3,2,2,3,3,1,1,No,No,Yes,Yes,No,Yes,No,No,Yes,I try to do things that keep my mind away from those thoughts,No,No one,Yes
2/13/2023 23:19:59,Yes,4,2,5,3,2,1,1,1,5,5,5,3,5,2,Yes,Yes,No,No,Yes,Yes,No,No,No,By sharing your problem with parents,No,No one,Yes
2/13/2023 23:20:39,Yes,1,2,2,2,2,3,3,3,1,1,3,3,1,1,No,Yes,Yes,Yes,No,Yes,No,Yes,No,by motivational videos on youtube,No,No one,Yes
2/13/2023 23:23:04,Yes,4,3,3,3,4,5,4,5,4,5,3,4,5,5,Yes,No,Yes,No,No,No,No,Yes,No,By sharing your problem with parents,Yes,,Yes
2/13/2023 23:23:21,Yes,5,3,4,4,2,3,2,4,5,4,3,3,4,5,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,by motivational videos on youtube,Yes,A friend ,Yes
2/13/2023 23:23:39,Yes,4,2,3,4,3,3,2,2,4,3,3,3,2,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,by motivational videos on youtube,No,no one,Yes
2/13/2023 23:23:51,Yes,1,4,2,2,4,2,4,4,1,1,1,4,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,By taking with bestfriend,Yes,First all of you thanku so much  that you asked me this question.i am basically share my feelings my with my freends ,Yes
2/13/2023 23:24:29,Yes,,,,5,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,By sharing your problem with parents,No,No,Yes
2/13/2023 23:25:04,Yes,3,3,5,5,1,5,5,5,5,3,5,5,2,2,No,No,Yes,Yes,Yes,No,No,No,No,by motivational videos on youtube,Yes,A friend or by journaling ,Yes
2/13/2023 23:26:20,Yes,3,2,4,3,3,3,4,2,3,4,3,2,4,4,No,No,Yes,No,No,No,No,No,No,by listening podcast,No,Usually mom,Yes
2/13/2023 23:28:27,Yes,3,4,4,5,3,3,4,3,3,4,3,4,4,5,No,Yes,No,No,No,Yes,Yes,No,No,by motivational videos on youtube,No,,Yes
2/13/2023 23:34:54,No,2,2,1,5,1,5,5,5,1,1,1,3,1,1,No,No,No,Yes,No,Yes,No,No,Yes,Being alone,No,,Yes
2/13/2023 23:35:01,No,5,5,5,5,5,1,5,5,1,5,1,5,1,1,No,Yes,Yes,Yes,No,Yes,No,No,Yes,by listening podcast,No,No one ,Yes
2/13/2023 23:37:17,No,5,1,1,2,3,5,5,5,5,5,4,5,3,1,No,Yes,No,Yes,No,Yes,Yes,No,No,By taking with bestfriend,Yes,Self,Yes
2/13/2023 23:39:41,Yes,3,1,1,2,2,1,1,3,3,1,2,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,By taking with bestfriend,Yes,Friends ,Yes
2/13/2023 23:41:14,Yes,2,2,2,3,2,3,2,2,3,2,2,1,2,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,By taking with bestfriend,No,,Yes
2/13/2023 23:41:33,Yes,5,5,5,5,5,3,5,5,,5,5,3,5,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,By taking with bestfriend,Yes,Partner,Yes
2/13/2023 23:41:36,No,3,5,5,5,1,5,5,5,4,5,5,5,3,2,Yes,No,No,No,No,Yes,No,No,Yes,Sleep,No,No one,Yes
2/13/2023 23:41:37,Yes,2,3,5,5,3,4,5,5,5,3,4,5,1,1,No,No,Yes,No,No,Yes,No,No,Yes,By taking with bestfriend,No,Myself,Yes
2/13/2023 23:43:32,Yes,4,3,4,4,2,4,4,4,5,5,4,2,4,3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,By taking with bestfriend,No,,No
2/13/2023 23:54:09,Yes,5,2,3,4,3,1,2,2,3,3,5,3,5,3,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,By sharing your problem with parents,Yes,mother,Yes
2/13/2023 23:54:25,Yes,5,2,2,2,4,1,1,1,3,4,5,2,4,5,Yes,Yes,No,No,Yes,No,Yes,Yes,No,By taking with bestfriend,No,,Yes
2/14/2023 6:41:25,Yes,5,1,1,1,1,1,1,1,5,5,1,1,5,5,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Listening to music ,Yes,Friends ,Yes
2/14/2023 7:07:35,Yes,2,4,4,5,1,4,4,1,5,5,5,3,1,1,No,Yes,Yes,No,No,Yes,No,No,No,by motivational videos on youtube,Yes,Best friend ,Yes
2/14/2023 8:55:00,Yes,3,1,2,1,2,1,2,2,3,3,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"I understand to self , be positive",No,,Yes
2/14/2023 9:02:15,Yes,2,1,1,2,1,1,1,1,3,3,2,1,2,1,Yes,Yes,No,No,Yes,No,No,Yes,No,Listening music ,No,,Yes
2/14/2023 9:35:23,Yes,2,4,4,4,2,4,4,4,3,1,4,4,2,2,No,Yes,Yes,Yes,No,Yes,No,Yes,No,By taking with bestfriend,Yes,,Yes
2/14/2023 10:56:57,Yes,,,5,,,,5,5,,,,5,,,No,Yes,Yes,Yes,No,Yes,No,Yes,No,By sharing your problem with parents,Yes,Mother,Yes
2/14/2023 12:06:04,Yes,3,1,3,3,3,3,1,2,2,2,2,2,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,By sharing your problem with parents,Yes,Excellent l,Yes
2/15/2023 11:57:54,Yes,1,5,5,5,2,4,4,4,3,2,4,5,2,1,No,No,Yes,Yes,No,No,No,No,Yes,by listening podcast,No,No one ,Yes
2/15/2023 12:09:40,Yes,2,1,2,2,1,2,1,1,2,2,2,3,1,1,No,No,Yes,Yes,No,Yes,No,No,No,"Music, Netflix or playing valorant ",Yes,Girlfriend and a distant friend ,Yes
2/15/2023 13:27:20,Yes,2,4,3,5,3,4,2,3,4,3,4,5,1,1,No,No,Yes,Yes,No,Yes,No,Yes,No,By sharing your problem with parents,No,No one,Yes
2/15/2023 17:31:46,Yes,2,3,3,3,2,4,3,2,3,4,5,4,5,3,No,No,Yes,Yes,No,Yes,No,No,No,"""I have to go too far "" this is what i tell myself and things feel quite nice then ",No,To myself when i am alone or to my pet when i am with her,Yes
2/15/2023 19:14:19,Yes,1,5,5,5,1,5,5,4,2,1,4,3,2,3,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Just thinks for it nd after that new issue created then i resolve that .... same happens everytime,No,No one,Yes
2/15/2023 22:52:12,Yes,5,5,5,5,1,5,5,5,1,1,1,5,1,1,No,Yes,Yes,Yes,No,No,No,No,No,By sleeping ,No,Nobody ,Yes
2/15/2023 22:53:58,Yes,3,1,1,1,3,1,1,1,3,3,4,2,3,3,Yes,No,No,No,Yes,Yes,Yes,Yes,No,By sharing your problem with parents,Yes,,Yes
2/15/2023 23:15:33,Yes,,,,,,,,,,,,,3,,Yes,Yes,Yes,No,Yes,No,No,No,No,By taking with bestfriend,Yes,Best friend ,Yes
2/15/2023 23:18:22,No,,3,,4,,3,,,,,,,,,No,No,Yes,No,No,Yes,No,No,No,by listening podcast,Yes,My grandma,Yes
2/15/2023 23:18:50,Yes,1,,,,,,,,,,,,,,Yes,No,No,No,Yes,Yes,No,Yes,No,By taking with bestfriend,Yes,,Yes
2/15/2023 23:22:20,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,by listening podcast,No,No one,No